timestamp,pod_name,cpu_cores,memory_mb
2025-07-28 16:37:41,argocd-repo-server-78c85657d5-swl9c,23,67
2025-07-28 16:37:41,argocd-repo-server-78c85657d5-xht5d,16,76
2025-07-28 16:37:41,argocd-server-7659b858fd-f4ccc,3,81
2025-07-28 16:37:41,argocd-server-7659b858fd-p24dw,3,89
2025-07-28 16:37:41,argocd-server-7659b858fd-pnrtv,3,80
2025-07-28 16:37:41,argocd-server-7659b858fd-pvsms,5,79
2025-07-28 16:37:41,argocd-server-7659b858fd-zpdjd,3,81
2025-07-28 16:37:59,argocd-application-controller-0,986,644
2025-07-28 16:37:59,argocd-applicationset-controller-7dbbb8d777-5rfhg,10,79
2025-07-28 16:37:59,argocd-applicationset-controller-7dbbb8d777-tc7bg,1,63
2025-07-28 16:37:59,argocd-dex-server-7b79475458-6q8v2,2,50
2025-07-28 16:37:59,argocd-redis-ha-haproxy-6c84d4fc78-4bscw,6,84
2025-07-28 16:37:59,argocd-redis-ha-haproxy-6c84d4fc78-8vbql,16,81
2025-07-28 16:37:59,argocd-redis-ha-haproxy-6c84d4fc78-cpvmv,5,76
2025-07-28 16:37:59,argocd-redis-ha-server-0,23,99
2025-07-28 16:37:59,argocd-redis-ha-server-1,22,99
2025-07-28 16:37:59,argocd-redis-ha-server-2,33,100
2025-07-28 16:37:59,argocd-repo-server-78c85657d5-gl2px,22,65
2025-07-28 16:37:59,argocd-repo-server-78c85657d5-gx9nw,17,75
2025-07-28 16:37:59,argocd-repo-server-78c85657d5-rp6h6,21,71
2025-07-28 16:37:59,argocd-repo-server-78c85657d5-swl9c,21,67
2025-07-28 16:37:59,argocd-repo-server-78c85657d5-xht5d,13,77
2025-07-28 16:37:59,argocd-server-7659b858fd-f4ccc,5,81
2025-07-28 16:37:59,argocd-server-7659b858fd-p24dw,3,91
2025-07-28 16:37:59,argocd-server-7659b858fd-pnrtv,4,80
2025-07-28 16:37:59,argocd-server-7659b858fd-pvsms,3,79
2025-07-28 16:37:59,argocd-server-7659b858fd-zpdjd,3,81
2025-07-28 16:38:17,argocd-application-controller-0,1050,622
2025-07-28 16:38:17,argocd-applicationset-controller-7dbbb8d777-5rfhg,11,79
2025-07-28 16:38:17,argocd-applicationset-controller-7dbbb8d777-tc7bg,1,63
2025-07-28 16:38:17,argocd-dex-server-7b79475458-6q8v2,1,50
2025-07-28 16:38:17,argocd-redis-ha-haproxy-6c84d4fc78-4bscw,6,84
2025-07-28 16:38:17,argocd-redis-ha-haproxy-6c84d4fc78-8vbql,16,81
2025-07-28 16:38:17,argocd-redis-ha-haproxy-6c84d4fc78-cpvmv,6,77
2025-07-28 16:38:17,argocd-redis-ha-server-0,16,98
2025-07-28 16:38:17,argocd-redis-ha-server-1,22,99
2025-07-28 16:38:17,argocd-redis-ha-server-2,22,99
2025-07-28 16:38:17,argocd-repo-server-78c85657d5-gl2px,19,68
2025-07-28 16:38:17,argocd-repo-server-78c85657d5-gx9nw,20,74
2025-07-28 16:38:17,argocd-repo-server-78c85657d5-rp6h6,16,71
2025-07-28 16:38:17,argocd-repo-server-78c85657d5-swl9c,18,67
2025-07-28 16:38:17,argocd-repo-server-78c85657d5-xht5d,15,77
2025-07-28 16:38:17,argocd-server-7659b858fd-f4ccc,3,81
2025-07-28 16:38:17,argocd-server-7659b858fd-p24dw,5,91
2025-07-28 16:38:17,argocd-server-7659b858fd-pnrtv,4,80
2025-07-28 16:38:17,argocd-server-7659b858fd-pvsms,3,79
2025-07-28 16:38:17,argocd-server-7659b858fd-zpdjd,3,82
